1908. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1914. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1920. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1926. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1932. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1938. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.3
1944. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1950. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1956. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1962. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1968. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1974. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.4
1980. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1986. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1992. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
1998. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
2004. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
2010. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
2016. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.4
2022. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
2028. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.5
2034. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.4
2040. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.4
2046. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2052. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2058. ExpT: 0, ExpHumid: 0, Temp: 28.1, Humid: 48.5
2064. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2070. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2076. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2082. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2088. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2094. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
2100. ExpT: 0, ExpHumid: 0, Temp: 28, Humid: 48.5
